time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,32,13,0,0
2026-04-20 00:00:00+00:00,51,22,0,0
2026-04-21 00:00:00+00:00,49,18,0,0
2026-04-22 00:00:00+00:00,87,28,0,0
2026-04-23 00:00:00+00:00,48,18,0,0
2026-04-24 00:00:00+00:00,55,20,0,0
2026-04-25 00:00:00+00:00,48,19,0,0
2026-04-26 00:00:00+00:00,20,8,0,0
2026-04-27 00:00:00+00:00,13,4,0,0
2026-04-28 00:00:00+00:00,19,4,0,0
2026-04-29 00:00:00+00:00,53,14,0,0
2026-04-30 00:00:00+00:00,1,1,0,0
2026-05-01 00:00:00+00:00,18,4,0,0
2026-05-02 00:00:00+00:00,26,7,0,0
